config_id,split,mode,m,max_edges,edge_selection,channel_set,preprocess,label_shift_ms,stride,epochs,mfg_feature_mode,ema_half_life_s,train_series,val_series,baseline_windows_ms,baseline_lags_ms,edges_used,baseline_auc,mfg_auc,combined_auc,baseline_ap,mfg_ap,combined_ap,combined_minus_baseline,mfg_minus_baseline,result_dir
49,1-2-3-4-5-6-7|8,corr,2,8,event_union,all32,car_only,0.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,48,0.6855671907291049,0.5815449222482844,0.6986064519501057,0.07659932053078877,0.052149539258382165,0.0787001145658825,0.013039261221000853,-0.10402226848082052,out\classification_controls\runs\cfg_049
43,1-2-3-4-5-6-7|8,corr,2,4,event_union,motor_premotor,bandpass_0_5_48,0.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,20,0.6256039654902078,0.5422937986286133,0.6381243838803473,0.06528612320232034,0.04530819793688919,0.06566980562451936,0.01252041839013951,-0.08331016686159454,out\classification_controls\runs\cfg_043
21,1-2-3-4-5-6|7,corr,2,8,event_union,no_fp1_fp2,car_only,0.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,48,0.6598008118122971,0.6303292020580282,0.6721814480918704,0.06636197879991056,0.06108387417604141,0.06774081166730662,0.01238063627957331,-0.02947160975426888,out\classification_controls\runs\cfg_021
37,1-2-3-4-5-6-7|8,corr,2,4,event_union,no_fp1_fp2,car_only,0.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,24,0.6503195517260243,0.5195483512644761,0.6625938842760711,0.06650654349369099,0.04413280947656062,0.06940291337425906,0.01227433255004684,-0.13077120046154822,out\classification_controls\runs\cfg_037
24,1-2-3-4-5-6|7,corr,2,8,event_union,no_fp1_fp2,bandpass_0_5_48,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,48,0.6594323311265858,0.5868135835045729,0.6713847062319506,0.07120975865904992,0.048259640515272546,0.07130124011913695,0.011952375105364732,-0.07261874762201292,out\classification_controls\runs\cfg_024
16,1-2-3-4-5-6|7,corr,2,4,event_union,ocular_proxy_only,bandpass_0_5_48,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,8,0.5902271401094046,0.5233547791656865,0.6020008195756017,0.05800661761801904,0.05255406012623826,0.06019048600409662,0.011773679466197118,-0.06687236094371807,out\classification_controls\runs\cfg_016
32,1-2-3-4-5-6|7,corr,2,8,event_union,ocular_proxy_only,bandpass_0_5_48,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,8,0.5902271401094046,0.5233547791656865,0.6020008195756017,0.05800661761801904,0.05255406012623826,0.06019048600409662,0.011773679466197118,-0.06687236094371807,out\classification_controls\runs\cfg_032
8,1-2-3-4-5-6|7,corr,2,4,event_union,no_fp1_fp2,bandpass_0_5_48,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,24,0.6594323311265858,0.5865411574382673,0.6708887809982328,0.07120975865904992,0.04883888648182255,0.07026516904911843,0.011456449871646956,-0.07289117368831854,out\classification_controls\runs\cfg_008
12,1-2-3-4-5-6|7,corr,2,4,event_union,motor_premotor,bandpass_0_5_48,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,20,0.6026867913540348,0.5190931466582142,0.6136629930712032,0.054640620931334836,0.03956830829362932,0.052081347873495054,0.010976201717168399,-0.08359364469582065,out\classification_controls\runs\cfg_012
26,1-2-3-4-5-6|7,corr,2,8,event_union,motor_premotor,car_only,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,32,0.5577136000759403,0.5072006004532242,0.5679219217652227,0.04495174259888554,0.03805251481604751,0.04527962666476309,0.010208321689282429,-0.05051299962271605,out\classification_controls\runs\cfg_026
55,1-2-3-4-5-6-7|8,corr,2,8,event_union,no_fp1_fp2,bandpass_0_5_48,0.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,48,0.6692263726630455,0.5510379734066344,0.6782169642855919,0.08725254055899061,0.04805666006618958,0.08787198694475977,0.00899059162254634,-0.11818839925641111,out\classification_controls\runs\cfg_055
