alpha,fusion_grid,classifier,channel_set,preprocess,matches,mean_aligned_lift,mean_shifted_lift,mean_delta,aligned_wins,mean_aligned_auc,mean_shifted_auc,mean_aligned_baseline_auc,mean_shifted_baseline_auc,summary_eligible
0.2,0.25,sgd_logistic,all32,bandpass_0_5_48,24,0.0025057143269127165,0.0005041300349902792,0.0020015842919224374,14,0.8633962828461529,0.8556891672429638,0.8608905685192402,0.8551850372079737,True
0.3,0.25,sgd_logistic,all32,bandpass_0_5_48,24,0.0027200056048404205,0.0007698603727304999,0.0019501452321099208,15,0.8584171125786894,0.849128940353622,0.855697106973849,0.8483590799808914,True
0.1,0.25,sgd_logistic,all32,bandpass_0_5_48,24,0.002031556290364849,0.00023022771785167128,0.0018013285725131778,15,0.8694364165079486,0.8646533031211421,0.8674048602175838,0.8644230754032903,True
0.2,0.2,sgd_logistic,all32,bandpass_0_5_48,24,0.002709562872541425,0.0011610276886857432,0.001548535183855682,14,0.8636001313917815,0.8563460648966593,0.8608905685192402,0.8551850372079737,True
0.3,0.2,sgd_logistic,all32,bandpass_0_5_48,24,0.002909593223771996,0.0013656680501350452,0.0015439251736369503,15,0.8586067001976211,0.8497247480310265,0.855697106973849,0.8483590799808914,True
0.1,0.2,sgd_logistic,all32,bandpass_0_5_48,24,0.002370590224611642,0.0008351200023375299,0.0015354702222741118,15,0.8697754504421954,0.865258195405628,0.8674048602175838,0.8644230754032903,True
0.1,0.15,sgd_logistic,all32,bandpass_0_5_48,24,0.0024443493194695174,0.00109120420434915,0.0013531451151203673,15,0.8698492095370534,0.8655142796076395,0.8674048602175838,0.8644230754032903,True
0.2,0.15,sgd_logistic,all32,bandpass_0_5_48,24,0.0027343099098839896,0.001563764528605503,0.0011705453812784865,14,0.8636248784291242,0.8567488017365791,0.8608905685192402,0.8551850372079737,True
0.3,0.15,sgd_logistic,all32,bandpass_0_5_48,24,0.0029507718094488097,0.00181215064633665,0.0011386211631121592,15,0.8586478787832977,0.8501712306272281,0.855697106973849,0.8483590799808914,True
0.1,0.1,sgd_logistic,all32,bandpass_0_5_48,24,0.0022781490859968665,0.00114337786638506,0.0011347712196118067,16,0.8696830093035807,0.8655664532696754,0.8674048602175838,0.8644230754032903,True
0.2,0.1,sgd_logistic,all32,bandpass_0_5_48,24,0.0026375353245366496,0.0017884941080196408,0.0008490412165170091,13,0.8635281038437769,0.8569735313159933,0.8608905685192402,0.8551850372079737,True
0.3,0.1,sgd_logistic,all32,bandpass_0_5_48,24,0.0029235684374877007,0.002078403398555854,0.0008451650389318469,14,0.8586206754113368,0.8504374833794474,0.855697106973849,0.8483590799808914,True
