subject,split,classifier,channel_set,preprocess,baseline_context,smooth_proba_ms,val_keep_all_positive,edge_selection,mode,m,max_edges,alpha,fusion_grid,stride,mfg_feature_mode,baseline_auc_aligned,best_assisted_auc_aligned,best_assisted_feature_set_aligned,best_assisted_minus_baseline_aligned,baseline_auc_shifted,best_assisted_auc_shifted,best_assisted_feature_set_shifted,best_assisted_minus_baseline_shifted,aligned_lift,shifted_lift,aligned_minus_shifted,aligned_wins,aligned_auc,shifted_auc,aligned_baseline_auc,shifted_baseline_auc
3,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.15,100,expanded,0.8456189724052828,0.84933684781223,combined,0.0037178754069471,0.8331005274070962,0.8320719653667927,fusion,-0.0010285620403034,0.0037178754069471,-0.0010285620403034,0.0047464374472505,True,0.84933684781223,0.8320719653667927,0.8456189724052828,0.8331005274070962
10,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.25,100,expanded,0.8723755724554088,0.8762937911066686,combined,0.0039182186512598,0.842392105404879,0.841654058216152,combined,-0.0007380471887269,0.0039182186512598,-0.0007380471887269,0.0046562658399867,True,0.8762937911066686,0.841654058216152,0.8723755724554088,0.842392105404879
6,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.2,100,expanded,0.8601976176370657,0.8625922560137576,fusion,0.0023946383766918,0.851294950490295,0.8490703781620108,fusion,-0.0022245723282842,0.0023946383766918,-0.0022245723282842,0.004619210704976,True,0.8625922560137576,0.8490703781620108,0.8601976176370657,0.851294950490295
9,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.15,100,expanded,0.8610942479800591,0.8618639239021214,combined,0.0007696759220623,0.8604318420920455,0.8566048883215412,fusion,-0.0038269537705042,0.0007696759220623,-0.0038269537705042,0.0045966296925665,True,0.8618639239021214,0.8566048883215412,0.8610942479800591,0.8604318420920455
5,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.2,100,expanded,0.7387862402171957,0.7405711255097044,combined,0.0017848852925086,0.7616207160280926,0.7588897796740982,fusion,-0.0027309363539943,0.0017848852925086,-0.0027309363539943,0.0045158216465028996,True,0.7405711255097044,0.7588897796740982,0.7387862402171957,0.7616207160280926
1,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.1,100,expanded,0.9096910770941996,0.9153940694293348,combined,0.0057029923351353,0.9258852008578428,0.9271821224915956,fusion,0.0012969216337527,0.0057029923351353,0.0012969216337527,0.0044060707013826,True,0.9153940694293348,0.9271821224915956,0.9096910770941996,0.9258852008578428
2,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.1,100,expanded,0.8874698093238864,0.897948429120223,combined,0.0104786197963365,0.8682893258035628,0.8744230070448061,combined,0.0061336812412433,0.0104786197963365,0.0061336812412433,0.0043449385550932,True,0.897948429120223,0.8744230070448061,0.8874698093238864,0.8682893258035628
2,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.15,100,expanded,0.8874698093238864,0.897948429120223,combined,0.0104786197963365,0.8682893258035628,0.8744230070448061,combined,0.0061336812412433,0.0104786197963365,0.0061336812412433,0.0043449385550932,True,0.897948429120223,0.8744230070448061,0.8874698093238864,0.8682893258035628
2,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.2,100,expanded,0.8874698093238864,0.897948429120223,combined,0.0104786197963365,0.8682893258035628,0.8744230070448061,combined,0.0061336812412433,0.0104786197963365,0.0061336812412433,0.0043449385550932,True,0.897948429120223,0.8744230070448061,0.8874698093238864,0.8682893258035628
2,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.25,100,expanded,0.8874698093238864,0.897948429120223,combined,0.0104786197963365,0.8682893258035628,0.8744230070448061,combined,0.0061336812412433,0.0104786197963365,0.0061336812412433,0.0043449385550932,True,0.897948429120223,0.8744230070448061,0.8874698093238864,0.8682893258035628
1,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.25,100,expanded,0.9096910770941996,0.9153940694293348,combined,0.0057029923351353,0.9258852008578428,0.9272862336431552,fusion,0.0014010327853123,0.0057029923351353,0.0014010327853123,0.004301959549823001,True,0.9153940694293348,0.9272862336431552,0.9096910770941996,0.9258852008578428
5,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.2,100,expanded,0.7314445527152126,0.7331572496671172,combined,0.0017126969519045,0.7503313428131211,0.7477513275829528,fusion,-0.0025800152301682,0.0017126969519045,-0.0025800152301682,0.0042927121820727,True,0.7331572496671172,0.7477513275829528,0.7314445527152126,0.7503313428131211
3,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.25,100,expanded,0.8601177686078824,0.8603773320957177,fusion,0.0002595634878352,0.8538204626606724,0.8497975593064827,fusion,-0.0040229033541896,0.0002595634878352,-0.0040229033541896,0.0042824668420248,True,0.8603773320957177,0.8497975593064827,0.8601177686078824,0.8538204626606724
6,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.15,100,expanded,0.8522824348835766,0.8544372324578163,fusion,0.0021547975742397,0.8443487454326454,0.8422611166368495,fusion,-0.0020876287957958,0.0021547975742397,-0.0020876287957958,0.0042424263700355,True,0.8544372324578163,0.8422611166368495,0.8522824348835766,0.8443487454326454
12,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.25,100,expanded,0.8622857552736892,0.8656794314345785,fusion,0.0033936761608892,0.8493854483652895,0.8486428350996755,fusion,-0.0007426132656139,0.0033936761608892,-0.0007426132656139,0.0041362894265031,True,0.8656794314345785,0.8486428350996755,0.8622857552736892,0.8493854483652895
10,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.2,100,expanded,0.8723755724554088,0.8762937911066686,combined,0.0039182186512598,0.842392105404879,0.8422089679831809,fusion,-0.000183137421698,0.0039182186512598,-0.000183137421698,0.0041013560729578,True,0.8762937911066686,0.8422089679831809,0.8723755724554088,0.842392105404879
1,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.15,100,expanded,0.9096910770941996,0.9153940694293348,combined,0.0057029923351353,0.9258852008578428,0.9275430386798929,fusion,0.0016578378220498,0.0057029923351353,0.0016578378220498,0.0040451545130855,True,0.9153940694293348,0.9275430386798929,0.9096910770941996,0.9258852008578428
