config_id,split,mode,m,max_edges,stride,epochs,mfg_feature_mode,ema_half_life_s,train_series,val_series,baseline_windows_ms,baseline_lags_ms,baseline_auc,mfg_auc,combined_auc,baseline_ap,mfg_ap,combined_ap,combined_minus_baseline,mfg_minus_baseline,result_dir
5,1-2-3-4-5-6-7|8,corr,2,8,25,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,0.6067188393312194,0.5177764601416439,0.6111028371774784,0.05493120834170406,0.0433099981143544,0.056084725056437655,0.00438399784625898,-0.08894237918957548,out\classification_sweep\runs\cfg_005
8,1-2-3-4-5-6-7|8,gc,2,24,25,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,0.6067188393312194,0.521692487116888,0.609260551204259,0.05493120834170406,0.04176824969059054,0.05503930410529245,0.0025417118730396426,-0.08502635221433141,out\classification_sweep\runs\cfg_008
1,1-2-3-4-5-6|7,corr,2,8,25,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,0.6054667821977522,0.5350908895540051,0.6075205340854789,0.05360482859501665,0.04452851554383111,0.054360062373826575,0.002053751887726718,-0.0703758926437471,out\classification_sweep\runs\cfg_001
2,1-2-3-4-5-6|7,corr,2,24,25,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,0.6054667821977522,0.5269344060475172,0.6065313818356062,0.05360482859501665,0.042949111601272544,0.05401597335784322,0.0010645996378539913,-0.078532376150235,out\classification_sweep\runs\cfg_002
4,1-2-3-4-5-6|7,gc,2,24,25,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,0.6054667821977522,0.5100893003660608,0.6012345468506618,0.05360482859501665,0.03972309365447312,0.052947903327143435,-0.004232235347090385,-0.09537748183169137,out\classification_sweep\runs\cfg_004
7,1-2-3-4-5-6-7|8,gc,2,8,25,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,0.6067188393312194,0.5144263862830266,0.6011628770725993,0.05493120834170406,0.04248057506699138,0.054238742712755715,-0.005555962258620095,-0.09229245304819278,out\classification_sweep\runs\cfg_007
3,1-2-3-4-5-6|7,gc,2,8,25,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,0.6054667821977522,0.5119350260468692,0.5996782697884676,0.05360482859501665,0.04049160444332248,0.05226168530526445,-0.005788512409284574,-0.09353175615088294,out\classification_sweep\runs\cfg_003
6,1-2-3-4-5-6-7|8,corr,2,24,25,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,0.6067188393312194,0.5351577803495414,0.6005263082203304,0.05493120834170406,0.0444803916182373,0.0539317800577078,-0.006192531110889021,-0.07156105898167797,out\classification_sweep\runs\cfg_006
