config_id,split,event,baseline_auc,mfg_auc,combined_auc,combined_minus_baseline,mfg_minus_baseline
1,1-2-3-4-5-6|7,HandStart,0.6770985652295824,0.6249542186853525,0.659526646323475,-0.01757191890610743,-0.05214434654422995
1,1-2-3-4-5-6|7,FirstDigitTouch,0.5741428195744933,0.4943410998429536,0.5949750725968945,0.020832253022401215,-0.07980171973153971
1,1-2-3-4-5-6|7,BothStartLoadPhase,0.5886172338508586,0.5333618701189947,0.6203411983954601,0.03172396454460147,-0.055255363731863905
1,1-2-3-4-5-6|7,LiftOff,0.5957387092635361,0.5062316978369484,0.5916151800404534,-0.004123529223082678,-0.08950701142658768
1,1-2-3-4-5-6|7,Replace,0.6352272428995928,0.5352189610899767,0.6343836749692939,-0.0008435679302988275,-0.10000828180961607
1,1-2-3-4-5-6|7,BothReleased,0.5619761223684498,0.5164374897498047,0.5442814321872957,-0.017694690181154105,-0.0455386326186451
2,1-2-3-4-5-6|7,HandStart,0.6770985652295824,0.5635309929225056,0.653202888173031,-0.02389567705655149,-0.11356757230707681
2,1-2-3-4-5-6|7,FirstDigitTouch,0.5741428195744933,0.53115230902572,0.5871328254637312,0.012990005889237932,-0.04299051054877334
2,1-2-3-4-5-6|7,BothStartLoadPhase,0.5886172338508586,0.5033614448710424,0.6104475244026902,0.02183029055183161,-0.08525578897981623
2,1-2-3-4-5-6|7,LiftOff,0.5957387092635361,0.5087346837310751,0.5812870760313362,-0.01445163323219989,-0.087004025532461
2,1-2-3-4-5-6|7,Replace,0.6352272428995928,0.5396220100630775,0.627941173808483,-0.007286069091109737,-0.09560523283651523
2,1-2-3-4-5-6|7,BothReleased,0.5619761223684498,0.5152049956716822,0.5791768031343656,0.017200680765915743,-0.04677112669676764
3,1-2-3-4-5-6|7,HandStart,0.6770985652295824,0.5399578400900922,0.6624827949024503,-0.014615770327132127,-0.13714072513949027
3,1-2-3-4-5-6|7,FirstDigitTouch,0.5741428195744933,0.4794068815189047,0.5720891099102169,-0.0020537096642764263,-0.09473593805558861
3,1-2-3-4-5-6|7,BothStartLoadPhase,0.5886172338508586,0.5104515198642197,0.620774974672045,0.03215774082118639,-0.07816571398663896
3,1-2-3-4-5-6|7,LiftOff,0.5957387092635361,0.4999569568974626,0.58151797574303,-0.014220733520506124,-0.0957817523660735
3,1-2-3-4-5-6|7,Replace,0.6352272428995928,0.5302312073068188,0.5987474554931931,-0.03647978740639968,-0.10499603559277393
3,1-2-3-4-5-6|7,BothReleased,0.5619761223684498,0.5116057506037174,0.5624573080098704,0.0004811856414205229,-0.05037037176473247
4,1-2-3-4-5-6|7,HandStart,0.6770985652295824,0.5352818667633592,0.6660559066344318,-0.011042658595150634,-0.14181669846622325
4,1-2-3-4-5-6|7,FirstDigitTouch,0.5741428195744933,0.4827434218324049,0.5698664087501482,-0.004276410824345156,-0.09139939774208844
4,1-2-3-4-5-6|7,BothStartLoadPhase,0.5886172338508586,0.489479435756717,0.6105706593866709,0.021953425535812254,-0.09913779809414164
4,1-2-3-4-5-6|7,LiftOff,0.5957387092635361,0.5350120850880768,0.5818031215565518,-0.013935587706984331,-0.060726624175459265
4,1-2-3-4-5-6|7,Replace,0.6352272428995928,0.5153610597457892,0.6293909430492084,-0.005836299850384363,-0.1198661831538036
4,1-2-3-4-5-6|7,BothReleased,0.5619761223684498,0.5026579330100174,0.54972024172696,-0.012255880641489858,-0.05931818935843247
5,1-2-3-4-5-6-7|8,HandStart,0.6668244524737783,0.5946805763663606,0.6785451913705067,0.011720738896728422,-0.07214387610741768
5,1-2-3-4-5-6-7|8,FirstDigitTouch,0.6077731571615931,0.5080743118178255,0.6178356689846682,0.01006251182307516,-0.0996988453437676
5,1-2-3-4-5-6-7|8,BothStartLoadPhase,0.5750111580686263,0.4811175152972028,0.5556219303736518,-0.01938922769497453,-0.09389364277142354
5,1-2-3-4-5-6-7|8,LiftOff,0.5989709515888284,0.4891551414548233,0.6135894446568442,0.01461849306801577,-0.1098158101340051
5,1-2-3-4-5-6-7|8,Replace,0.617082351968091,0.5078497981303882,0.6177402291084675,0.0006578771403764616,-0.1092325538377028
5,1-2-3-4-5-6-7|8,BothReleased,0.5746509647263989,0.525781417783263,0.5832845585707319,0.008633593844333043,-0.04886954694313583
6,1-2-3-4-5-6-7|8,HandStart,0.6668244524737783,0.608863001156515,0.6719983115971545,0.005173859123376201,-0.05796145131726327
6,1-2-3-4-5-6-7|8,FirstDigitTouch,0.6077731571615931,0.519826561709438,0.6273383666823251,0.01956520952073204,-0.08794659545215511
6,1-2-3-4-5-6-7|8,BothStartLoadPhase,0.5750111580686263,0.5060584608717553,0.5541734649090316,-0.020837693159594717,-0.06895269719687103
6,1-2-3-4-5-6-7|8,LiftOff,0.5989709515888284,0.5107277577627591,0.5965491455800973,-0.0024218060087310977,-0.08824319382606927
6,1-2-3-4-5-6-7|8,Replace,0.617082351968091,0.5377273547652489,0.5914740291367424,-0.025608322831348618,-0.07935499720284211
6,1-2-3-4-5-6-7|8,BothReleased,0.5746509647263989,0.527743545831532,0.561624531416631,-0.013026433309767826,-0.046907418894866826
7,1-2-3-4-5-6-7|8,HandStart,0.6668244524737783,0.5396620102995301,0.6705155038477765,0.0036910513739981665,-0.1271624421742482
7,1-2-3-4-5-6-7|8,FirstDigitTouch,0.6077731571615931,0.5313392953311411,0.6222533129501254,0.014480155788532345,-0.07643386183045198
7,1-2-3-4-5-6-7|8,BothStartLoadPhase,0.5750111580686263,0.4805542874762949,0.5723623899934811,-0.002648768075145247,-0.09445687059233143
7,1-2-3-4-5-6-7|8,LiftOff,0.5989709515888284,0.4872950146308549,0.5925903075165442,-0.006380644072284225,-0.11167593695797351
7,1-2-3-4-5-6-7|8,Replace,0.617082351968091,0.541805541227005,0.5959638664295881,-0.02111848553850293,-0.07527681074108605
7,1-2-3-4-5-6-7|8,BothReleased,0.5746509647263989,0.5059021687333339,0.5532918816980806,-0.021359083028318238,-0.06874879599306494
8,1-2-3-4-5-6-7|8,HandStart,0.6668244524737783,0.5610989074933446,0.6740673324507935,0.007242879977015226,-0.10572554498043374
8,1-2-3-4-5-6-7|8,FirstDigitTouch,0.6077731571615931,0.5133652793956722,0.6116742062813226,0.0039010491197295494,-0.09440787776592086
8,1-2-3-4-5-6-7|8,BothStartLoadPhase,0.5750111580686263,0.5123223737332583,0.5863830125118525,0.011371854443226193,-0.06268878433536806
8,1-2-3-4-5-6-7|8,LiftOff,0.5989709515888284,0.5038916343515707,0.5989164469060333,-5.4504682795109005e-05,-0.09507931723725771
8,1-2-3-4-5-6-7|8,Replace,0.617082351968091,0.5264725311008215,0.5993849624164926,-0.017697389551598386,-0.09060982086726954
8,1-2-3-4-5-6-7|8,BothReleased,0.5746509647263989,0.5130041966266606,0.5851373466590593,0.010486381932660382,-0.061646768099738236
